baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000028435.8	1000.5796223911	6.25340805056062	0.200046399088026	31.2597881244988	1.64359916975463e-214	1.61894518220832e-211
ENSMUSG00000042793.13	993.576312797694	4.19099700089184	0.135037979131381	31.0356910541022	1.77967415730531e-211	1.67329817926638e-208
ENSMUSG00000049382.10	5899.24713463949	10.8667952471432	0.354159703639083	30.6833192355991	9.50202290616098e-207	8.54562364408435e-204
ENSMUSG00000063450.14	2006.12784084826	3.45579320551432	0.113622541759145	30.414679622639	3.51349322605684e-203	3.02819197420774e-200
ENSMUSG00000022871.13	1099.7952644504	6.6564755507888	0.221666871633528	30.0291852442148	4.0828619450069e-198	3.37815997329871e-195
ENSMUSG00000020788.15	2104.96002782645	8.8186061768463	0.298917423518555	29.5018138221671	2.7287799137165e-191	2.17095432750869e-188
ENSMUSG00000025432.11	1237.60437915869	6.45489615051812	0.218903450322733	29.4874116465573	4.17505848129977e-191	3.19855869206243e-188
ENSMUSG00000061126.5	1586.32534464593	8.12857106287883	0.27657010829316	29.3906348485885	7.23432820563715e-190	5.34435996191444e-187
ENSMUSG00000003153.10	1022.19288280176	4.75299234563213	0.169211477938215	28.0890658455664	1.33239206136495e-173	9.50363096183932e-171
ENSMUSG00000060716.7	840.076802587286	6.73483710966962	0.239866081411638	28.0774883636502	1.84507646024767e-173	1.27218021934077e-170
ENSMUSG00000040703.11	1371.16347630209	7.27375715488836	0.261010928254039	27.8676345222178	6.58624325318436e-171	4.39472392555221e-168
ENSMUSG00000048699.4	2458.65333462847	9.60289999303346	0.347628319250947	27.6240440184083	5.7236547972881e-168	3.69980623380951e-165
ENSMUSG00000038295.14	631.270758813957	5.2388381621703	0.191088230384168	27.4158076174448	1.77721852202857e-165	1.11399288267154e-162
ENSMUSG00000012350.15	1200.6930974147	7.68148140242764	0.28277802283556	27.1643507702667	1.71388241390326e-162	1.04269581563497e-159
ENSMUSG00000024421.16	651.429855158015	5.80222403031149	0.215275141736372	26.9525964935466	5.3182438786793e-160	3.14308213229947e-157
ENSMUSG00000048373.8	879.00815711073	7.22964243547592	0.279661076045176	25.851443245924	2.34386471398459e-147	1.34674560024365e-144
ENSMUSG00000024331.11	731.901280949567	5.56459473758829	0.220066715214743	25.2859444562451	4.56038295878119e-141	2.54950058114565e-138
ENSMUSG00000031297.14	803.307189779641	3.90827085946808	0.154649075213692	25.2718669934992	6.51315913117309e-141	3.54538675337672e-138
ENSMUSG00000043439.5	659.510379959438	5.17598679459043	0.205087297207169	25.2379687336846	1.53522255006123e-140	8.14258421744012e-138
ENSMUSG00000018166.8	696.96499137541	6.81090078875454	0.270551155472004	25.1741700266341	7.68532888213389e-140	3.97427569817349e-137
ENSMUSG00000074227.12	750.561479761327	3.91032992266528	0.156133260944295	25.0448232427579	1.98796345986037e-138	1.00295180895638e-135
ENSMUSG00000115388.2	609.404653912474	6.50246368021496	0.260718151485105	24.9405867722503	2.70157362304517e-137	1.33052500934975e-134
ENSMUSG00000020911.14	1699.4813619959	3.62477921478637	0.145377774730943	24.9335169801223	3.22333584692874e-137	1.55057446497026e-134
ENSMUSG00000018849.6	1056.227462201	3.63308525796261	0.146178573653003	24.8537468055118	2.35559948748964e-136	1.10739944088007e-133
ENSMUSG00000074272.10	525.078374695688	4.9468650414197	0.199690418558177	24.7726710031333	1.76688463485155e-135	8.12177970486761e-133
ENSMUSG00000022218.16	1164.81379288269	8.52445381777469	0.34942954634229	24.3953435163277	1.91630263505853e-131	8.61711304482296e-129
ENSMUSG00000022123.9	552.660927671778	4.73709918443909	0.19419752253729	24.3932009149575	2.0193029125276e-131	8.88708100970922e-129
ENSMUSG00000030494.13	525.764777452403	5.76746808353172	0.236652748553978	24.37101668488	3.47139833737063e-131	1.49595572101066e-128
ENSMUSG00000026479.13	663.209575969876	3.25897683357695	0.135227739255619	24.0999136088237	2.5049278243029e-128	1.05743738868787e-125
ENSMUSG00000035557.9	5638.81550003438	11.880151633567	0.493674968522228	24.0647235348577	5.85429007376831e-128	2.42191980351795e-125
ENSMUSG00000019866.15	1632.55287878245	2.94413171932296	0.122682997337949	23.997878949867	2.92625666675656e-127	1.18685527748744e-124
ENSMUSG00000038807.19	1117.16485309953	2.96426737028883	0.124614856035709	23.7874316481127	4.50629887696151e-125	1.79255369749902e-122
ENSMUSG00000026639.18	426.209245726598	4.30166990530612	0.181534467059832	23.696160706982	3.94977239401952e-124	1.54152909377913e-121
ENSMUSG00000029019.8	418.743727793534	5.45654323204266	0.230890183652945	23.63263411945	1.78080632670634e-123	6.82147756813346e-121
ENSMUSG00000056413.16	486.355385986222	5.93778660849499	0.254386946738542	23.341553820361	1.67915407523736e-120	6.31514582659725e-118
ENSMUSG00000015468.14	463.294203813678	5.998615415239	0.258630772441248	23.1937420231062	5.26598043253596e-119	1.94512152226797e-116
ENSMUSG00000005968.14	900.285413058321	2.82737434266017	0.12215511233396	23.1457717048339	1.60352704573677e-118	5.81911525281845e-116
ENSMUSG00000063011.7	8462.53620247583	1.94800402709525	0.0841804237555463	23.1408199221247	1.79861936117025e-118	6.41455887686322e-116
ENSMUSG00000046410.10	439.952573973082	4.26475900627743	0.185012276180537	23.0512217584732	1.42997974769024e-117	5.01341204762247e-115
ENSMUSG00000041607.17	437.940389499683	5.01673542093994	0.219176534706057	22.8890169637366	5.97732864229321e-116	2.06068404943058e-113
ENSMUSG00000024479.3	745.886923719574	7.47904018972841	0.330503922729495	22.6292024855927	2.23610831938605e-113	7.58260665352465e-111
ENSMUSG00000018920.11	363.460053974949	3.70238715619212	0.163944841392967	22.5831268903282	6.34939657166569e-113	2.1183430336275e-110
ENSMUSG00000021118.7	399.452977353645	5.28705701585133	0.235185845321071	22.4803368103788	6.4647053172013e-112	2.12257824581443e-109
ENSMUSG00000030513.14	1227.61461465407	2.47352232627769	0.110084567365835	22.4692923401118	8.29016058527443e-112	2.67940580791253e-109
ENSMUSG00000042377.8	350.22215300403	4.34393386060602	0.193522576146685	22.4466516883975	1.37981791563998e-111	4.39100516692508e-109
ENSMUSG00000020435.17	376.574777830378	4.6475436395153	0.20762287576363	22.3845451635413	5.56705523385626e-111	1.74476571988359e-108
ENSMUSG00000084128.10	455.492958066295	4.29447254583105	0.192027835197409	22.3638023175975	8.86307430340468e-111	2.73630883531232e-108
ENSMUSG00000002799.6	445.811085598826	4.5760520020031	0.207287239723359	22.0758981986069	5.38830091826604e-108	1.6390735955049e-105
ENSMUSG00000026380.10	349.696087500173	4.88231908247422	0.221700692384142	22.022119236392	1.76799644606466e-107	5.30014586765905e-105
ENSMUSG00000044017.16	438.253332815361	6.25972067948835	0.28632116459245	21.8625845853849	5.90068284347369e-106	1.74365178024648e-103
ENSMUSG00000068876.16	633.879324948329	7.56668597108276	0.346690429961635	21.8254826702891	1.32926999428968e-105	3.87266899040591e-103
